id_video,c1_form,c1_composition,c1_locale,c1_nature,c1_command,c1_description,c2_form,c2_composition,c2_locale,c2_nature,c2_command,c2_description,c3_form,c3_composition,c3_locale,c3_nature,c3_command,c3_description,c4_form,c4_composition,c4_locale,c4_nature,c4_command,c4_description,c5_form,c5_composition,c5_locale,c5_nature,c5_command,c5_description,c6_form,c6_composition,c6_locale,c6_nature,c6_command,c6_description,c7_form,c7_composition,c7_locale,c7_nature,c7_command,c7_description,c8_form,c8_composition,c8_locale,c8_nature,c8_command,c8_description
TC24221,dynamic,1,no self interaction,iconic,palm up,"one hand, palm facing up, moving up-down (repeatedly)",dynamic,1,no self interaction,iconic,palm down,"one hand, palm facing down, moving up-down (repeatedly)",dynamic,1,no self interaction,pantomimic,clap hands,"two hands, one palm facing upward, the other palm facing downward, moving towards each other, clapping (repeatedly)",dynamic,1,no self interaction,pantomimic,unclap hands,"two hands, palms pressed together, fingers pointing forward, moving away for each other (once)",dynamic,1,no self interaction,pantomimic,clockwise,"one hand, index finger pointing forward and moving drawing a circle, counterclockwise (repeatedly)",dynamic,1,no self interaction,pantomimic,counterclockwise,"one hand, index finger pointing forward and moving drawing a circle, clockwise (repeatedly)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,no self interaction,symbolic,hand wave,"one hand, palm facing forward, waving left-right (once)"
TC24222,dynamic,1,no self interaction,deictic,index up,"one hand, index finger, pointing up, moving from bottom to top (once)",dynamic,1,no self interaction,deictic,index down,"one hand, index finger, pointing downward, moving up-down (once)",dynamic,1,no self interaction,iconic,hand grab,"one hand, palm facing forward, closing fist inward (repeatedly)",dynamic,1,no self interaction,iconic,hand grab,"one hand, palm facing forward, closing fist inward (once)",dynamic,1,no self interaction,iconic,hand release,"one hand, palm closed, facing outward, opening fingers outward (once)",dynamic,1,no self interaction,iconic,hand release,"one hand, palm closed, facing outward, opening fingers outward (once)",static,1,no self interaction,deictic,index up,"one hand, index finger extended upward (stationary)",dynamic,1,no self interaction,deictic,point camera,"one hand, index finger extended, pointing forward (once)"
TC24223,dynamic,1,no self interaction,iconic,swipe up,"one hand, palm open forward, middle finger pointing forward, moving upward, (once)",dynamic,1,no self interaction,iconic,hand pinch,"one hand, thumb and index fingers pinching together, moving downward (once)",dynamic,1,mouth interaction,iconic,hand grab,"one hand, palm open, moving upward, closing fist in front of mouth (once)",static,1,mouth interaction,symbolic,silence cue,"one hand, index finger placed on lips (stationary)",dynamic,1,no self interaction,pantomimic,clap hands,"two hands, palms open and facing each other, moving toward each other and clapping (once)",dynamic,1,no self interaction,pantomimic,open curtains,"two hands, palms open forward, fingers slightly bent, moving away from each other, to the sides (once)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,2,no self interaction,symbolic,clap hands + hand pinch,"two hands, palms open and facing each other, moving towards each other, clapping (once) + thumb and index fingers pinching together (stationary)"
TC24224,dynamic,1,no self interaction,iconic,palm up,"one hand, palm facing up, moving upward (once)",dynamic,1,no self interaction,iconic,palm down,"one hand, palm facing down, moving up-down (once)",dynamic,1,no self interaction,iconic,hand grab,"one hand, palm facing forward, closing fist inward (once)",dynamic,1,no self interaction,iconic,hand release,"one hand, palm closed, facing outward, opening fingers outward (once)",dynamic,1,no self interaction,iconic,hand release,"one hand, palm closed, facing outward, opening fingers outward (once)",dynamic,1,no self interaction,iconic,hand grab,"one hand, palm facing forward, closing fist inward (once)",dynamic,1,no self interaction,iconic,palm up,"one hand, open palm horizontaly, facing upward (stationary)",dynamic,1,no self interaction,pantomimic,hand cut,"one hand, palm open, facing downward, moving rightward in a cutting movement (once)"
TC24225,dynamic,1,no self interaction,iconic,backhand up,"one hand, palm facing down, moving upward, (once)",dynamic,1,no self interaction,iconic,palm down,"one hand, palm facing down, moving up-down (once)",dynamic,1,no self interaction,pantomimic,hand pinch,"one hand, palm open, all fingers tapping together, closing forward (once)",dynamic,1,no self interaction,iconic,unpinch,"one hand, all fingers pinched together, slowly opening outward (once)",dynamic,1,no self interaction,pantomimic,palm rotate,"one hand, palm open facing forward, fingers pointing rightward, moving leftward while turning the palm inward (once)",dynamic,1,no self interaction,pantomimic,palm rotate,"one hand, palm open facing inward, fingers pointing leftward, moving rightward while turning the palm forward (once)",dynamic,1,no self interaction,deictic,point camera,"one hand, index finger extended, pointing forward (once)",dynamic,1,no self interaction,pantomimic,open curtains,"two hands, thumb and index fingers pinching together, hands crossed in front, moving apart to the sides"
TC24226,dynamic,1,no self interaction,pantomimic,hand pinch,"one hand, thumb and index fingers pinching together, slowly closing inwards and outwards (repeatedly)",dynamic,1,no self interaction,pantomimic,hand pinch,"one hand, all fingers tapping together, closing forward and opening (once)",dynamic,2,no self interaction,pantomimic,point camera + clockwise,"one hand, index finger extended, pointing forward (once) + all fingers pinching knob, rotating counterclockwise (once)",dynamic,2,no self interaction,pantomimic,point camera + clockwise,"one hand, index finger extended, pointing forward (once) + all fingers pressing the button, rotating clockwise (once)",dynamic,2,no self interaction,symbolic,raised hand + hand grab,"one hand, all fingers raised, pointing upwards, thumb touching fingers in sequence (once) + one hand, palm facing forward, closing fist inward (once)",dynamic,1,no self interaction,iconic,hand release,"one hand, palm closed, facing outward, opening fingers outward (once)",dynamic,3,no self interaction,pantomimic,index up + circular hand wave + hand grab,"one hand, index finger extended upward (stationary) + open palm facing forward, moving upward in a circular motion to the right (once) + palm facing leftward, closing fist inward (once)",dynamic,1,no self interaction,symbolic,hand wave,"one hand, palm facing forward, waving left-right (repeatedly)"
TC24227,dynamic,2,no self interaction,symbolic,raised hand + hand swipe,"one hand, palm open, facing forward, raised upward (stationary) + palm facing rightward, swiping rightward (once)",dynamic,1,no self interaction,iconic,hand swipe,"one hand, palm facing rightward, swiping leftward (once)",static,1,mouth interaction,symbolic,cover mouth,"one hand, palm open facing inward, covering the mouth (stationary)",dynamic,1,mouth interaction,pantomimic,uncover mouth,"one hand, palm facing inward, touching mouth, moving out of mouth vertically (once)",static,1,eyes interaction,pantomimic,cover eyes,"two hands, palms facing inward, covering the eyes (stationary)",dynamic,1,mouth interaction,pantomimic,uncover mouth,"two hands, palms facing inward, touching mouth, moving upward out of mouth (once)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",dynamic,1,no self interaction,iconic,hand grab,"one hand, palm facing forward, closing fist inward (once)"
TC24228,dynamic,1,no self interaction,iconic,palm up,"one hand, palm facing up, moving upward (once)",dynamic,1,no self interaction,iconic,palm down,"one hand, palm facing down, moving up-down (once)",static,1,mouth interaction,symbolic,silence cue,"one hand, index finger placed on lips (stationary)",dynamic,1,no self interaction,iconic,palm up,"one hand, palm facing up, moving upward (once)",dynamic,1,no self interaction,pantomimic,hand pinch,"one hand, palm facing forward, all fingers tapping together, closing frontward (once)",dynamic,1,no self interaction,pantomimic,circular hand wave,"one hand, palm facing forward, moving upward in a circular motion to the right (once)",static,1,no self interaction,deictic,index up,"one hand, index finger extended upward (stationary)",dynamic,1,no self interaction,pantomimic,hand pinch,"one hand, palm facing forward, all fingers tapping together, closing frontward (once)"
TC24229,dynamic,1,no self interaction,iconic,palm up,"one hand, palm facing up, moving up-down (repeatedly)",dynamic,1,no self interaction,iconic,palm down,"one hand, palm facing down, moving up-down (repeatedly)",static,1,mouth interaction,symbolic,silence cue,"one hand, index finger placed on lips (stationary)",dynamic,1,no self interaction,iconic,unpinch,"one hand, thumb and middle fingers pinched together, opening outward (once)",dynamic,1,no self interaction,iconic,hand release,"one hand, palm closed, facing outward, opening fingers outward and closing again (once)",dynamic,1,no self interaction,iconic,hand release,"one hand, palm closed, facing outward, opening fingers outward (once)",static,1,no self interaction,symbolic,raised hand,"one hand, palm open, facing forward, raised upward (stationary)",static,1,other self interaction,symbolic,cross hands/arms,"two hands, open palms, crossed in front of the body (once)"
TC24230,dynamic,1,no self interaction,iconic,palm up,"one hand, palm facing up, moving up-down (once)",dynamic,1,no self interaction,iconic,palm down,"one hand, palm facing down, moving up-down (once)",dynamic,1,no self interaction,iconic,hand grab,"one hand, palm facing lefward, closing fist inward (once)",dynamic,1,no self interaction,iconic,hand release,"one hand, palm closed, facing leftward, opening fingers forward (once)",dynamic,1,eyes interaction,pantomimic,close lid,"two hands, open palms facing each other, one moving downward toward the other (once)",dynamic,1,no self interaction,pantomimic,open curtains,"two hands, palms pressed together, moving away from each other up and down (once)",static,1,no self interaction,deictic,index up,"one hand, index finger extended upward (stationary)",dynamic,1,no self interaction,symbolic,cross hands/arms,"two hands, palms open facing the sides, crossed in front of the body, moving away, to the sides (once)"
